id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,191,7,1,1,0,8,5,0,15
33,254,0,1,6,2,2,5,0,15
34,172,7,3,2,1,2,5,0,15
35,61,0,5,6,0,2,5,0,15
36,22,0,4,8,1,1,5,0,15
37,67,0,5,6,0,2,5,0,15
38,199,0,4,6,0,2,5,0,15
39,179,7,1,2,2,2,5,0,15
40,0,0,3,9,1,1,5,0,15
41,4,0,3,9,1,1,5,0,15
42,142,7,3,4,1,2,5,0,15
43,60,7,5,5,0,3,5,0,15
44,163,7,2,3,1,7,5,0,15
45,187,7,3,1,1,5,5,0,15
46,193,7,1,1,2,7,5,0,15
47,45,0,4,7,1,2,5,0,15
48,5,10,4,6,0,2,5,0,15
49,25,9,3,6,1,2,5,0,15
50,10,9,4,6,1,2,5,0,15
51,15,9,4,6,1,2,5,0,15
52,55,0,5,6,0,2,5,0,15
53,20,9,4,6,1,2,5,0,15
54,164,0,4,6,1,2,5,0,15
55,139,0,4,6,1,2,5,0,15
56,234,0,4,6,1,2,5,0,15
57,144,0,4,6,0,2,5,0,15
58,150,7,1,4,2,4,5,0,15
59,57,7,2,6,1,4,5,0,15
60,75,7,3,5,1,3,5,0,15
61,158,7,4,3,1,4,5,0,15
62,71,7,3,5,1,3,5,0,15
63,37,9,3,6,1,2,5,0,15
64,16,0,5,8,0,2,5,0,15
65,121,0,5,6,0,2,5,0,15
66,169,0,4,6,1,2,5,0,15
67,174,0,4,6,0,2,5,0,15
68,194,0,4,6,0,2,5,0,15
69,49,8,3,6,1,2,5,0,15
70,33,9,3,6,1,2,5,0,15
71,179,0,4,6,0,2,5,0,15
72,184,0,4,6,0,2,5,0,15
73,41,9,3,6,1,2,5,0,15
74,45,8,3,6,1,2,5,0,15
75,189,0,4,6,1,2,5,0,15
76,53,8,3,6,1,2,5,0,15
77,115,0,5,6,0,2,5,0,15
78,29,9,3,6,1,2,5,0,15
79,109,0,5,6,0,2,5,0,15
80,159,0,4,6,1,2,5,0,15
81,10,0,5,8,0,2,5,0,15
82,154,0,4,6,1,2,5,0,15
83,149,0,4,6,1,2,5,0,15
84,103,0,5,6,0,2,5,0,15
85,214,0,4,6,0,2,5,0,15
86,97,0,5,6,0,2,5,0,15
87,91,0,5,6,0,2,5,0,15
88,79,0,5,6,0,2,5,0,15
89,73,0,5,6,0,2,5,0,15
90,85,0,5,6,0,2,5,0,15
91,39,0,2,8,1,2,5,0,15
92,50,0,4,7,1,2,5,0,15
93,42,0,2,8,2,2,5,0,15
94,152,7,5,3,0,2,5,0,15
95,181,7,5,1,0,9,5,0,15
96,176,7,2,2,1,1,5,0,15
97,133,7,4,4,1,4,5,0,15
98,204,0,4,6,1,2,5,0,15
99,138,7,3,4,1,4,5,0,15
100,209,0,4,6,0,2,5,0,15
101,103,7,4,4,1,4,5,0,15
102,127,0,5,6,0,2,5,0,15
103,219,0,4,6,0,4,5,0,15
104,224,0,4,6,1,2,5,0,15
105,229,0,4,6,1,2,5,0,15
106,31,0,3,8,1,2,5,0,15
107,239,0,4,6,1,2,5,0,15
108,244,0,4,6,1,2,5,0,15
109,79,7,5,4,0,4,5,0,15
110,108,7,4,4,1,4,5,0,15
111,113,7,4,4,0,4,5,0,15
112,249,0,4,6,1,4,5,0,15
113,0,10,4,6,0,4,5,0,15
114,118,7,4,4,1,4,5,0,15
115,123,7,4,4,1,4,5,0,15
116,66,7,4,5,0,3,5,0,15
117,128,7,4,4,1,4,5,0,15
118,85,7,5,4,0,4,5,0,15
119,91,7,5,4,0,4,5,0,15
120,97,7,5,4,0,4,5,0,15
121,133,0,5,6,0,4,5,0,15
122,146,7,3,4,1,4,5,0,15
123,35,0,3,8,1,2,5,0,15
124,8,0,1,9,2,1,5,0,15
125,27,0,3,8,1,2,5,0,15
126,166,7,5,2,0,5,5,0,15
